# time height velocity acceleration mass thrust air_resistance
1.571429 0.000000 30.804148 39.205279 2.801204 200.000000 0.052109
3.142857 96.813036 96.558424 44.481982 2.602407 200.000000 0.509923
4.714286 303.469334 171.088022 50.373869 2.403611 200.000000 1.587057
6.285714 634.518246 255.417422 56.954459 2.204814 200.000000 3.488298
7.857143 1106.209803 350.698266 64.312069 2.006018 200.000000 6.447220
9.428571 1736.712796 458.241737 72.561440 1.807221 200.000000 10.719865
11.000000 2546.398121 579.577777 81.866247 1.608425 200.000000 16.574812
12.571429 3558.242952 716.565661 92.481969 1.409629 200.000000 24.281378
14.142857 4798.461627 749.881112 -50.080486 1.409629 0.000000 25.241496
15.714286 5915.012161 797.362967 110.511938 1.210832 200.000000 27.231273
17.285714 7304.459523 840.397984 -55.740098 1.210832 0.000000 28.534591
18.857143 8556.262968 757.066294 -50.318417 1.210832 0.000000 21.969844
20.428571 9683.810732 681.241346 -46.186063 1.210832 0.000000 16.966256
22.000000 10697.307198 759.266686 145.491041 1.012036 200.000000 20.196624
23.571429 12070.077460 830.588945 -54.717257 1.012036 0.000000 22.814582
25.142857 13307.729597 748.656026 -49.561004 1.012036 0.000000 17.596270
26.714286 14422.996397 673.874030 -45.616082 1.012036 0.000000 13.603867
28.285714 15425.619405 788.721536 191.785635 0.813239 200.000000 17.867213
29.857143 16901.835512 893.317891 -58.663002 0.813239 0.000000 21.541899
31.428571 18233.189919 805.927669 -52.560917 0.813239 0.000000 16.579443
33.000000 19434.751042 870.736983 135.045499 0.681650 132.385594 18.400351
34.571429 20969.791866 928.933106 -60.977706 0.681650 0.000000 19.634059
36.142857 22354.255090 838.351148 -54.308422 0.681650 0.000000 15.087939
37.714286 23604.609761 756.948349 -49.295141 0.681650 0.000000 11.670633
39.285714 24733.235615 987.555249 342.794833 0.482854 200.000000 18.944796
40.857143 26708.354831 1190.390175 -84.641291 0.482854 0.000000 25.334042
42.428571 28474.461880 1067.807947 -71.372454 0.482854 0.000000 18.927131
44.000000 30064.322664 963.018250 -61.996251 0.482854 0.000000 14.399794
45.571429 31501.090666 870.983129 -55.139357 0.482854 0.000000 11.088915
47.142857 32801.698213 788.382011 -49.989339 0.482854 0.000000 8.602208
48.714286 33978.862699 712.930796 -46.039480 0.482854 0.000000 6.695003
50.285714 35042.337857 643.002646 -42.959983 0.482854 0.000000 5.208055
51.857143 35999.728158 577.404493 -40.528576 0.482854 0.000000 4.034040
53.428571 36857.037690 515.239046 -38.591084 0.482854 0.000000 3.098515
55.000000 37619.050873 455.816184 -37.038013 0.482854 0.000000 2.348608
56.571429 38289.602840 928.439492 638.558586 0.284058 200.000000 9.473321
58.142857 40537.003561 1354.163751 -96.727711 0.284058 0.000000 18.336971
59.714286 42545.546057 1215.335992 -79.962164 0.284058 0.000000 13.574591
61.285714 44356.630965 1098.786315 -68.373789 0.284058 0.000000 10.282825
62.857143 45998.874476 997.889625 -60.040181 0.284058 0.000000 7.915600
64.428571 47492.855499 908.395780 -53.861075 0.284058 0.000000 6.160378
66.000000 48853.832643 827.444421 -49.167928 0.284058 0.000000 4.827254
67.571429 50093.395107 753.035252 -45.534650 0.284058 0.000000 3.795194
69.142857 51220.514863 683.724601 -42.678904 0.284058 0.000000 2.983998
70.714286 52242.243854 618.442433 -40.407492 0.284058 0.000000 2.338786
72.285714 53164.191080 556.377194 -38.584631 0.284058 0.000000 1.820988
73.857143 53990.857891 496.900684 -37.112745 0.284058 0.000000 1.402888
75.428571 54725.878946 439.517478 -35.920427 0.284058 0.000000 1.064201
77.000000 55372.198537 383.829906 -34.954666 0.284058 0.000000 0.789869
78.571429 55932.201506 329.513194 -34.175695 0.284058 0.000000 0.568597
80.142857 56407.811431 276.297383 -33.553517 0.284058 0.000000 0.391862
81.714286 56800.564711 223.953866 -33.065505 0.284058 0.000000 0.253239
83.285714 57111.666438 172.285098 -32.694745 0.284058 0.000000 0.147922
