LOQO 6.07: optimal solution (27 QP iterations, 27 evaluations)
primal objective 11.79795836
  dual objective 11.79795849
a [*] :=
  1 1.9976e-10     48 7.20426e-11    95 5.91104e-11   142 6.79106e-11
  2 1.27001e-10    49 0.589472       96 1.98828e-10   143 0.107625
  3 2.2073         50 3.0997e-10     97 0.177339      144 1.18584e-10
  4 1.1979e-10     51 1.68386e-10    98 0.882663      145 1.64166e-10
  5 6.48215e-11    52 6.57317e-11    99 1.40616e-10   146 8.28181e-11
  6 1.59864e-10    53 0.164194      100 2.54049       147 0.251072
  7 3.63985e-10    54 1.2575e-10    101 2.97498e-10   148 1.45562e-10
  8 7.66275e-11    55 7.49007e-11   102 1.95441e-10   149 9.70925e-11
  9 0.535794       56 0.917851      103 0.157023      150 1.76263e-10
 10 9.23772e-09    57 1.24877e-10   104 3.33413e-10   151 6.39504e-11
 11 9.36826e-11    58 2.31782e-10   105 0.0688523     152 0.800829
 12 6.56015e-11    59 5.43169e-11   106 8.39285e-11   153 0.32975
 13 0.0446074      60 1.15747e-10   107 6.6022e-11    154 2.20037e-09
 14 8.29934e-11    61 8.20516e-11   108 9.85636e-11   155 2.87449e-10
 15 6.93563e-11    62 1.18503e-10   109 3.30952e-10   156 1.96334e-10
 16 1.72574e-10    63 3.23511e-10   110 2.55377e-10   157 6.93557e-11
 17 8.41272e-10    64 0.478371      111 2.75346e-10   158 1.71022e-10
 18 1.90058e-10    65 0.207781      112 5.29101e-11   159 1.49685e-10
 19 1.61131e-08    66 1.36269e-10   113 1.99511e-10   160 1.19925e-10
 20 1.01319e-10    67 2.79201e-10   114 8.34089e-11   161 0.455275
 21 6.07639e-11    68 9.00848e-11   115 9.80581e-11   162 7.32281e-10
 22 5.67325e-11    69 0.598027      116 0.744559      163 7.09092e-11
 23 2.30412e-08    70 1.17194e-10   117 6.36505e-11   164 1.52059e-10
 24 3.88004e-09    71 1.66061e-10   118 8.21563e-11   165 1.04669
 25 7.83271e-11    72 1.39506e-10   119 4.60396e-10   166 0.296604
 26 0.0833737      73 0.650229      120 1.98776e-10   167 3.39772e-10
 27 1.41541e-10    74 0.354643      121 7.78976e-11   168 2.22992e-10
 28 0.25833        75 0.389362      122 6.92345e-11   169 0.608202
 29 0.545924       76 1.50777e-10   123 2.64229e-10   170 0.407781
 30 1.21571e-10    77 2.26633e-10   124 1.10743e-10   171 2.84462e-09
 31 1.10958e-10    78 6.2839e-10    125 2.1568e-10    172 8.71846e-11
 32 4.02429e-10    79 9.16963e-11   126 5.19841e-10   173 4.46608e-10
 33 1.58059e-10    80 6.70356e-10   127 0.950716      174 1.59352e-10
 34 6.54409e-11    81 2.88238e-10   128 2.07806e-10   175 0.22699
 35 0.84129        82 7.92356e-11   129 2.78683e-10   176 3.56063e-10
 36 1.29483e-10    83 3.26451e-10   130 1.93225e-10   177 1.54245e-10
 37 8.2379e-11     84 9.693e-11     131 0.0586039     178 1.72984e-10
 38 0.0945982      85 5.95996e-11   132 1.26735e-10   179 0.53314
 39 8.40886e-11    86 2.59713e-10   133 5.67888e-11   180 2.6983e-09
 40 8.31644e-08    87 4.7611e-10    134 0.117343      181 1.8018e-09
 41 2.90003e-10    88 0.839255      135 5.4567e-11    182 4.83902e-11
 42 1.8237e-10     89 1.56632       136 1.95172e-10   183 7.09831e-11
 43 4.82581e-11    90 3.49813e-10   137 1.75019e-10   184 3.84511e-10
 44 1.03927e-10    91 4.99832e-11   138 9.10471e-10   185 6.26339e-06
 45 7.33129e-11    92 7.82871e-11   139 1.0364        186 1.06007e-10
 46 1.13071e-10    93 7.70651e-11   140 2.21336e-10
 47 0.43124        94 6.9625e-10    141 4.93902e-11
;


