2 2.2073 0.489359470530
8 0.5358 0.489342244707
12 0.0446 0.489352229235
25 0.0834 0.489321874750
27 0.2583 0.489340402111
28 0.5459 0.489313208511
34 0.8413 0.489354952717
37 0.0946 0.489357078408
46 0.4312 0.489370838373
48 0.5895 0.489351846873
52 0.1642 0.489345982647
55 0.9179 0.489340291918
63 0.4784 0.489350434978
64 0.2078 0.489360781074
68 0.5980 0.489359352524
72 0.6502 0.489364796970
73 0.3546 0.489354535040
74 0.3894 0.489345701934
87 0.8393 0.489357037101
88 1.5663 0.489378658051
96 0.1773 0.489347052712
97 0.8827 0.489356109730
99 2.5405 0.489380927888
102 0.1570 0.489336299179
104 0.0689 0.489342778264
115 0.7446 0.489338976209
126 0.9507 0.489354731848
130 0.0586 0.489331827843
133 0.1173 0.489363777234
138 1.0364 0.489358857171
142 0.1076 0.489355972548
146 0.2511 0.489363515355
151 0.8008 0.489358797912
152 0.3298 0.489354717593
160 0.4553 0.489348269770
164 1.0467 0.489327661539
165 0.2966 0.489326174068
168 0.6082 0.489343398834
169 0.4078 0.489342179544
174 0.2270 0.489345274282
178 0.5331 0.489354172543
Error rate on Training Data.
Value 2.0072 Predicted 1.0 Actual 1.0
Value 2.5187 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 2.6729 Predicted 1.0 Actual 1.0
Value 4.0097 Predicted 1.0 Actual 1.0
Value 2.2041 Predicted 1.0 Actual 1.0
Value 1.5267 Predicted 1.0 Actual 1.0
Value 3.5441 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0485 Predicted 1.0 Actual 1.0
Value 3.1275 Predicted 1.0 Actual 1.0
Value 3.9901 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 3.3514 Predicted 1.0 Actual 1.0
Value 3.8127 Predicted 1.0 Actual 1.0
Value 2.1757 Predicted 1.0 Actual 1.0
Value 1.2774 Predicted 1.0 Actual 1.0
Value 2.0748 Predicted 1.0 Actual 1.0
Value 1.0335 Predicted 1.0 Actual 1.0
Value 2.9227 Predicted 1.0 Actual 1.0
Value 4.2058 Predicted 1.0 Actual 1.0
Value 4.4700 Predicted 1.0 Actual 1.0
Value 1.0282 Predicted 1.0 Actual 1.0
Value 1.0750 Predicted 1.0 Actual 1.0
Value 3.4995 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 2.4267 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 2.6354 Predicted 1.0 Actual 1.0
