9 0.0826 0.012072601828
12 0.0641 0.012073721431
27 0.0097 0.012073658157
28 0.0496 0.012072757343
31 0.0255 0.012073699067
34 0.0771 0.012073543311
37 0.0910 0.012073042884
39 0.0662 0.012072877333
60 0.0905 0.012073194859
64 0.0437 0.012074122437
74 0.0505 0.012073124575
75 0.0181 0.012073439298
76 0.0947 0.012073382626
78 0.0943 0.012073503874
93 0.0179 0.012072354536
98 0.0120 0.012073218167
102 0.1000 0.015666032604
104 0.0700 0.012073581897
108 0.0896 0.012072787961
110 0.0179 0.012073075013
133 0.0721 0.012072812755
135 0.0446 0.012072733061
137 0.0679 0.012073614849
142 0.0401 0.012073606814
164 0.0136 0.012072615422
166 0.0325 0.012073859371
169 0.0182 0.012072958050
174 0.0318 0.012073016986
180 0.0626 0.012073112978
184 0.0667 0.012071717392
Error rate on Training Data.
Value 1.1223 Predicted 1.0 Actual 1.0
Value 0.5366 Predicted 1.0 Actual 1.0
Value -0.4945 Predicted -1.0 Actual 1.0
Value 1.9158 Predicted 1.0 Actual 1.0
Value 2.1542 Predicted 1.0 Actual 1.0
Value 1.2506 Predicted 1.0 Actual 1.0
Value -0.2010 Predicted -1.0 Actual 1.0
Value 1.5315 Predicted 1.0 Actual 1.0
Value 0.7851 Predicted 1.0 Actual 1.0
Value 0.9999 Predicted 1.0 Actual 1.0
Value 1.7313 Predicted 1.0 Actual 1.0
Value 1.9738 Predicted 1.0 Actual 1.0
Value 0.9999 Predicted 1.0 Actual 1.0
Value 1.3486 Predicted 1.0 Actual 1.0
Value 1.6709 Predicted 1.0 Actual 1.0
Value 1.2522 Predicted 1.0 Actual 1.0
Value 1.2142 Predicted 1.0 Actual 1.0
Value 1.2173 Predicted 1.0 Actual 1.0
Value 1.3388 Predicted 1.0 Actual 1.0
Value 1.9671 Predicted 1.0 Actual 1.0
Value 2.3387 Predicted 1.0 Actual 1.0
Value 2.4056 Predicted 1.0 Actual 1.0
Value 0.9724 Predicted 1.0 Actual 1.0
Value 0.7680 Predicted 1.0 Actual 1.0
Value 2.1406 Predicted 1.0 Actual 1.0
Value -0.2732 Predicted -1.0 Actual 1.0
Value 1.1012 Predicted 1.0 Actual 1.0
Value 0.9999 Predicted 1.0 Actual 1.0
Value 0.9999 Predicted 1.0 Actual 1.0
Value 1.4158 Predicted 1.0 Actual 1.0
Value 1.1758 Predicted 1.0 Actual 1.0
Value 0.9999 Predicted 1.0 Actual 1.0
Value 1.0635 Predicted 1.0 Actual 1.0
Value 1.9352 Predicted 1.0 Actual 1.0
Value 0.9999 Predicted 1.0 Actual 1.0
Value 1.5145 Predicted 1.0 Actual 1.0
Value 1.9364 Predicted 1.0 Actual 1.0
Value 0.9999 Predicted 1.0 Actual 1.0
