98.4474 0.003688057498
12.9816 0.003688219777
28.3116 0.003689360280
44.7894 0.003688990222
26.3581 0.003688019794
36.7381 0.003689233929
74.2736 0.003688981995
11.9111 0.003688561909
41.4348 0.003689095055
20.8818 0.003689023799
3.2380 0.003688472784
40.8574 0.003688865371
59.5537 0.003688906990
16.7662 0.003688761357
0.1037 0.003695737907
13.8354 0.003688425517
30.4183 0.003688270055
97.8993 0.003688426899
8.5125 0.003688976897
16.6566 0.003689144953
63.5389 0.003689011298
36.6983 0.003688580128
89.4563 0.003688441483
36.2032 0.003688147806
52.5948 0.003688233328
59.7171 0.003689335758
2.4786 0.003688938989
15.1736 0.003689095760
49.6606 0.003688668794
8.1933 0.003688627345
1.3722 0.003688150932
40.1234 0.003689538042
51.4942 0.003688334140
17.3654 0.003688354074
81.9708 0.003688425479
9.9822 0.003688209154
12.6638 0.003687213091
68.5562 0.003688553410
34.9011 0.003690060290
37.7857 0.003690222677
10.8704 0.003691053320
25.9701 0.003689453009
23.6605 0.003688199671
10.3686 0.003689730633
39.3451 0.003689168432
4.2461 0.003689282127
36.8726 0.003688797655
53.4906 0.003688706942
7.2301 0.003688278618
19.6140 0.003687876768
10.0767 0.003687977832
67.3897 0.003688923886
25.8730 0.003688569845
48.5045 0.003689123141
37.4749 0.003688113516
34.2697 0.003689853627
82.4303 0.003688933590
27.6442 0.003690255237
4.6650 0.003689246088
25.5623 0.003689210145
2.8292 0.003689643357
39.1819 0.003689726944
8.8662 0.003689347001
67.9115 0.003688349042
22.6818 0.003688557541
96.2878 0.003688524804
57.8253 0.003689285044
17.8739 0.003688683644
6.1448 0.003689311403
1.2593 0.003688751264
18.5993 0.003689598874
37.0473 0.003688764178
73.9895 0.003688189170
25.3560 0.003688246100
Error rate on Training Data.
Value 1.1260 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 0.9019 Predicted 1.0 Actual 1.0
Value 1.2010 Predicted 1.0 Actual 1.0
Value 1.1281 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.2081 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.1216 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.7000 Predicted 1.0 Actual 1.0
Value 1.0951 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0136 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.8984 Predicted 1.0 Actual 1.0
Value 0.8821 Predicted 1.0 Actual 1.0
Value 0.7071 Predicted 1.0 Actual 1.0
Value 0.6010 Predicted 1.0 Actual 1.0
Value 1.7283 Predicted 1.0 Actual 1.0
Value 0.4376 Predicted 1.0 Actual 1.0
Value 0.9284 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 0.5958 Predicted 1.0 Actual 1.0
Value 1.0616 Predicted 1.0 Actual 1.0
Value 1.0133 Predicted 1.0 Actual 1.0
Value 1.3332 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.8523 Predicted 1.0 Actual 1.0
Value 1.0950 Predicted 1.0 Actual 1.0
Value 1.7866 Predicted 1.0 Actual 1.0
Value 1.8621 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.6644 Predicted 1.0 Actual 1.0
Value 1.0957 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.2539 Predicted 1.0 Actual 1.0
Value 1.4331 Predicted 1.0 Actual 1.0
Value 2.0735 Predicted 1.0 Actual 1.0
Value 2.1482 Predicted 1.0 Actual 1.0
Value 1.5966 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 2.5032 Predicted 1.0 Actual 1.0
Value 1.0448 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0261 Predicted 1.0 Actual 1.0
Value 1.1205 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.2741 Predicted 1.0 Actual 1.0
Value 2.6761 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.9285 Predicted 1.0 Actual 1.0
Value 1.0475 Predicted 1.0 Actual 1.0
Value 1.6292 Predicted 1.0 Actual 1.0
Value 0.6642 Predicted 1.0 Actual 1.0
Value 1.1517 Predicted 1.0 Actual 1.0
Value 1.4130 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 0.9696 Predicted 1.0 Actual 1.0
Value 1.0027 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 0.3351 Predicted 1.0 Actual 1.0
Value 1.6259 Predicted 1.0 Actual 1.0
Value 1.7718 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
